rank,region,score,gdp,support,life_expectancy,freedom,generosity,corruption
1,Western Europe,7.769000053405762,1.340000033378601,1.5870000123977661,0.9860000014305115,0.5960000157356262,0.15299999713897705,0.3930000066757202
2,Western Europe,7.599999904632568,1.3830000162124634,1.5729999542236328,0.9959999918937683,0.5920000076293945,0.25200000405311584,0.4099999964237213
3,Western Europe,7.553999900817871,1.4880000352859497,1.5820000171661377,1.027999997138977,0.6029999852180481,0.2709999978542328,0.3409999907016754
4,Western Europe,7.49399995803833,1.3799999952316284,1.6239999532699585,1.0260000228881836,0.5910000205039978,0.3540000021457672,0.11800000071525574
5,Western Europe,7.48799991607666,1.3960000276565552,1.5219999551773071,0.9990000128746033,0.5569999814033508,0.32199999690055847,0.2980000078678131
6,Western Europe,7.480000019073486,1.4520000219345093,1.5260000228881836,1.0520000457763672,0.5720000267028809,0.2630000114440918,0.34299999475479126
7,Western Europe,7.3429999351501465,1.3869999647140503,1.4869999885559082,1.0089999437332153,0.5740000009536743,0.2669999897480011,0.37299999594688416
8,Australia and New Zealand,7.307000160217285,1.3029999732971191,1.5570000410079956,1.0260000228881836,0.5849999785423279,0.33000001311302185,0.3799999952316284
9,North America,7.2779998779296875,1.3650000095367432,1.5049999952316284,1.0390000343322754,0.5839999914169312,0.2849999964237213,0.30799999833106995
10,Western Europe,7.245999813079834,1.3760000467300415,1.475000023841858,1.0160000324249268,0.5320000052452087,0.24400000274181366,0.22599999606609344
11,Australia and New Zealand,7.228000164031982,1.371999979019165,1.5479999780654907,1.0360000133514404,0.5569999814033508,0.3319999873638153,0.28999999165534973
12,Latin America and Caribbean,7.166999816894531,1.034000039100647,1.440999984741211,0.9629999995231628,0.5580000281333923,0.14399999380111694,0.09300000220537186
13,Middle East and Northern Africa,7.138999938964844,1.2760000228881836,1.4550000429153442,1.0290000438690186,0.3709999918937683,0.26100000739097595,0.0820000022649765
14,Western Europe,7.090000152587891,1.6089999675750732,1.4789999723434448,1.0119999647140503,0.5260000228881836,0.1940000057220459,0.3160000145435333
15,Western Europe,7.053999900817871,1.3329999446868896,1.5379999876022339,0.9959999918937683,0.44999998807907104,0.3479999899864197,0.27799999713897705
16,Western Europe,7.020999908447266,1.4989999532699585,1.5529999732971191,0.9990000128746033,0.515999972820282,0.2980000078678131,0.3100000023841858
17,Western Europe,6.985000133514404,1.3730000257492065,1.4539999961853027,0.9869999885559082,0.4950000047683716,0.26100000739097595,0.26499998569488525
18,Western Europe,6.922999858856201,1.3559999465942383,1.503999948501587,0.9860000014305115,0.4729999899864197,0.1599999964237213,0.20999999344348907
19,North America,6.892000198364258,1.4329999685287476,1.4570000171661377,0.8740000128746033,0.45399999618530273,0.2800000011920929,0.12800000607967377
20,Central and Eastern Europe,6.8520002365112305,1.2690000534057617,1.4869999885559082,0.9200000166893005,0.4569999873638153,0.04600000008940697,0.035999998450279236
21,Middle East and Northern Africa,6.824999809265137,1.503000020980835,1.309999942779541,0.824999988079071,0.5979999899864197,0.2619999945163727,0.18199999630451202
22,Western Europe,6.72599983215332,1.2999999523162842,1.5199999809265137,0.9990000128746033,0.5640000104904175,0.375,0.1509999930858612
23,Latin America and Caribbean,6.59499979019165,1.0700000524520874,1.3229999542236328,0.8610000014305115,0.43299999833106995,0.07400000095367432,0.0729999989271164
24,Western Europe,6.5920000076293945,1.3240000009536743,1.472000002861023,1.0449999570846558,0.4359999895095825,0.11100000143051147,0.18299999833106995
25,Eastern Asia,6.446000099182129,1.3680000305175781,1.4299999475479126,0.9139999747276306,0.35100001096725464,0.24199999868869781,0.09700000286102295
26,Latin America and Caribbean,6.443999767303467,1.159000039100647,1.36899995803833,0.9200000166893005,0.3569999933242798,0.18700000643730164,0.0560000017285347
27,Latin America and Caribbean,6.435999870300293,0.800000011920929,1.2690000534057617,0.7459999918937683,0.5350000262260437,0.17499999701976776,0.07800000160932541
28,Middle East and Northern Africa,6.375,1.402999997138977,1.3569999933242798,0.7950000166893005,0.4390000104904175,0.07999999821186066,0.13199999928474426
29,Middle East and Northern Africa,6.374000072479248,1.684000015258789,1.312999963760376,0.8709999918937683,0.5550000071525574,0.2199999988079071,0.16699999570846558
30,Western Europe,6.354000091552734,1.2860000133514404,1.4839999675750732,1.062000036239624,0.3619999885559082,0.15299999713897705,0.07900000363588333
31,Latin America and Caribbean,6.321000099182129,1.1490000486373901,1.4420000314712524,0.9100000262260437,0.515999972820282,0.10899999737739563,0.05400000140070915
32,Latin America and Caribbean,6.300000190734863,1.003999948501587,1.4390000104904175,0.8019999861717224,0.38999998569488525,0.0989999994635582,0.0860000029206276
33,Latin America and Caribbean,6.293000221252441,1.1239999532699585,1.465000033378601,0.890999972820282,0.5230000019073486,0.12700000405311584,0.15000000596046448
34,Southeastern Asia,6.26200008392334,1.5720000267028809,1.4630000591278076,1.1410000324249268,0.5559999942779541,0.2709999978542328,0.453000009059906
35,Latin America and Caribbean,6.252999782562256,0.7940000295639038,1.2419999837875366,0.7889999747276306,0.4300000071525574,0.09300000220537186,0.07400000095367432
36,Western Europe,6.2230000495910645,1.2940000295639038,1.4880000352859497,1.0390000343322754,0.23100000619888306,0.15800000727176666,0.029999999329447746
37,Middle East and Northern Africa,6.198999881744385,1.3619999885559082,1.3680000305175781,0.8709999918937683,0.5360000133514404,0.2549999952316284,0.10999999940395355
38,Central and Eastern Europe,6.197999954223633,1.246000051498413,1.503999948501587,0.8809999823570251,0.33399999141693115,0.12099999934434891,0.014000000432133675
40,Central and Eastern Europe,6.182000160217285,1.2059999704360962,1.437999963760376,0.8840000033378601,0.4830000102519989,0.11699999868869781,0.05000000074505806
41,Central and Eastern Europe,6.173999786376953,0.7450000047683716,1.5290000438690186,0.7559999823570251,0.6309999823570251,0.32199999690055847,0.23999999463558197
42,Central and Eastern Europe,6.14900016784668,1.2380000352859497,1.5149999856948853,0.8180000185966492,0.29100000858306885,0.0430000014603138,0.041999999433755875
43,Latin America and Caribbean,6.125,0.9850000143051147,1.409999966621399,0.8410000205039978,0.4699999988079071,0.0989999994635582,0.03400000184774399
44,Central and Eastern Europe,6.118000030517578,1.2580000162124634,1.5230000019073486,0.953000009059906,0.5640000104904175,0.14399999380111694,0.05700000002980232
45,Latin America and Caribbean,6.105000019073486,0.6940000057220459,1.3250000476837158,0.8349999785423279,0.4350000023841858,0.20000000298023224,0.12700000405311584
46,Central and Eastern Europe,6.099999904632568,0.8820000290870667,1.2319999933242798,0.7580000162124634,0.48899999260902405,0.2619999945163727,0.006000000052154064
47,Latin America and Caribbean,6.085999965667725,1.0920000076293945,1.4320000410079956,0.8809999823570251,0.47099998593330383,0.06599999964237213,0.05000000074505806
48,Central and Eastern Europe,6.070000171661377,1.1619999408721924,1.2319999933242798,0.824999988079071,0.4620000123977661,0.08299999684095383,0.004999999888241291
49,Western Europe,6.046000003814697,1.2630000114440918,1.2230000495910645,1.0420000553131104,0.4059999883174896,0.1899999976158142,0.04100000113248825
50,Latin America and Caribbean,6.0279998779296875,0.9120000004768372,1.312000036239624,0.8679999709129333,0.49799999594688416,0.12600000202655792,0.08699999749660492
51,Middle East and Northern Africa,6.020999908447266,1.5,1.319000005722046,0.8080000281333923,0.49300000071525574,0.1420000046491623,0.09700000286102295
52,Southeastern Asia,6.007999897003174,1.0499999523162842,1.409000039100647,0.828000009059906,0.5569999814033508,0.35899999737739563,0.02800000086426735
53,Central and Eastern Europe,5.940000057220459,1.187000036239624,1.465000033378601,0.8119999766349792,0.2639999985694885,0.07500000298023224,0.06400000303983688
54,Eastern Asia,5.894999980926514,1.3009999990463257,1.218999981880188,1.0360000133514404,0.1589999943971634,0.17499999701976776,0.0560000017285347
55,Central and Eastern Europe,5.89300012588501,1.2369999885559082,1.527999997138977,0.8740000128746033,0.4950000047683716,0.10300000011920929,0.16099999845027924
56,Latin America and Caribbean,5.889999866485596,0.8309999704360962,1.4780000448226929,0.8309999704360962,0.49000000953674316,0.10700000077486038,0.02800000086426735
57,Sub-Saharan Africa,5.888000011444092,1.1200000047683716,1.4019999504089355,0.7979999780654907,0.49799999594688416,0.2150000035762787,0.05999999865889549
58,Eastern Asia,5.886000156402588,1.3270000219345093,1.4190000295639038,1.0880000591278076,0.4449999928474426,0.0689999982714653,0.14000000059604645
59,Latin America and Caribbean,5.860000133514404,0.6420000195503235,1.2359999418258667,0.828000009059906,0.5070000290870667,0.2460000067949295,0.07800000160932541
60,Central and Eastern Europe,5.809000015258789,1.1729999780654907,1.5080000162124634,0.7289999723434448,0.4099999964237213,0.1459999978542328,0.09600000083446503
61,Latin America and Caribbean,5.7789998054504395,0.7760000228881836,1.2089999914169312,0.7059999704360962,0.5109999775886536,0.13699999451637268,0.06400000303983688
62,Central and Eastern Europe,5.757999897003174,1.2009999752044678,1.409999966621399,0.828000009059906,0.19900000095367432,0.08100000023841858,0.019999999552965164
63,Latin America and Caribbean,5.743000030517578,0.8550000190734863,1.475000023841858,0.7770000100135803,0.5139999985694885,0.18400000035762787,0.07999999821186066
65,Latin America and Caribbean,5.697000026702881,0.9599999785423279,1.2740000486373901,0.8539999723434448,0.45500001311302185,0.08299999684095383,0.027000000700354576
66,Western Europe,5.692999839782715,1.2209999561309814,1.430999994277954,0.9990000128746033,0.5080000162124634,0.04699999839067459,0.02500000037252903
67,Southern Asia,5.6529998779296875,0.6769999861717224,0.8859999775886536,0.5350000262260437,0.31299999356269836,0.2199999988079071,0.09799999743700027
68,Central and Eastern Europe,5.6479997634887695,1.1829999685287476,1.4520000219345093,0.7260000109672546,0.33399999141693115,0.0820000022649765,0.03099999949336052
69,Southeastern Asia,5.63100004196167,0.8069999814033508,1.2929999828338623,0.6570000052452087,0.5580000281333923,0.11699999868869781,0.10700000077486038
70,Central and Eastern Europe,5.603000164031982,1.003999948501587,1.3830000162124634,0.8539999723434448,0.28200000524520874,0.13699999451637268,0.039000000804662704
71,Central and Eastern Europe,5.5289998054504395,0.6850000023841858,1.3279999494552612,0.7390000224113464,0.24500000476837158,0.1809999942779541,0
72,Middle East and Northern Africa,5.525000095367432,1.0440000295639038,1.3029999732971191,0.6729999780654907,0.41600000858306885,0.13300000131130219,0.15199999511241913
73,Central and Eastern Europe,5.5229997634887695,1.0509999990463257,1.3609999418258667,0.8709999918937683,0.19699999690055847,0.1420000046491623,0.07999999821186066
74,Central and Eastern Europe,5.4670000076293945,0.49300000071525574,1.0980000495910645,0.7179999947547913,0.3889999985694885,0.23000000417232513,0.14399999380111694
75,Central and Eastern Europe,5.432000160217285,1.1549999713897705,1.2660000324249268,0.9139999747276306,0.29600000381469727,0.11900000274181366,0.02199999988079071
76,Eastern Asia,5.429999828338623,1.437999963760376,1.2769999504089355,1.121999979019165,0.4399999976158142,0.257999986410141,0.28700000047683716
77,Latin America and Caribbean,5.425000190734863,1.0149999856948853,1.4010000228881836,0.7789999842643738,0.4970000088214874,0.11299999803304672,0.10100000351667404
78,Central and Eastern Europe,5.386000156402588,0.9449999928474426,1.2120000123977661,0.8450000286102295,0.21199999749660492,0.2630000114440918,0.006000000052154064
79,Middle East and Northern Africa,5.373000144958496,1.1829999685287476,1.3600000143051147,0.8080000281333923,0.19499999284744263,0.08299999684095383,0.10599999874830246
80,Southeastern Asia,5.339000225067139,1.2209999561309814,1.1710000038146973,0.828000009059906,0.5080000162124634,0.25999999046325684,0.024000000208616257
81,Central and Eastern Europe,5.322999954223633,1.0670000314712524,1.465000033378601,0.7889999747276306,0.23499999940395355,0.09399999678134918,0.1420000046491623
82,Western Europe,5.2870001792907715,1.180999994277954,1.156000018119812,0.9990000128746033,0.06700000166893005,0,0.03400000184774399
83,Eastern Asia,5.284999847412109,0.9480000138282776,1.531000018119812,0.6669999957084656,0.31700000166893005,0.23499999940395355,0.03799999877810478
85,Sub-Saharan Africa,5.264999866485596,0.6959999799728394,1.1109999418258667,0.24500000476837158,0.4259999990463257,0.2150000035762787,0.04100000113248825
86,Central and Eastern Europe,5.261000156402588,0.5509999990463257,1.437999963760376,0.7229999899864197,0.5080000162124634,0.30000001192092896,0.023000000044703484
87,Central and Eastern Europe,5.247000217437744,1.0520000457763672,1.5379999876022339,0.6570000052452087,0.39399999380111694,0.24400000274181366,0.02800000086426735
88,Middle East and Northern Africa,5.210999965667725,1.0019999742507935,1.159999966621399,0.7850000262260437,0.0860000029206276,0.0729999989271164,0.11400000005960464
89,Middle East and Northern Africa,5.208000183105469,0.8009999990463257,0.7820000052452087,0.7820000052452087,0.4180000126361847,0.035999998450279236,0.07599999755620956
90,Central and Eastern Europe,5.208000183105469,1.0429999828338623,1.1469999551773071,0.7689999938011169,0.35100001096725464,0.03500000014901161,0.18199999630451202
91,Middle East and Northern Africa,5.197000026702881,0.9869999885559082,1.2239999771118164,0.8149999976158142,0.2160000056028366,0.16599999368190765,0.027000000700354576
92,Southeastern Asia,5.191999912261963,0.9309999942779541,1.2029999494552612,0.6600000262260437,0.4909999966621399,0.49799999594688416,0.02800000086426735
93,Eastern Asia,5.190999984741211,1.0290000438690186,1.125,0.8930000066757202,0.5210000276565552,0.057999998331069946,0.10000000149011612
94,Southeastern Asia,5.175000190734863,0.7409999966621399,1.3459999561309814,0.8510000109672546,0.5429999828338623,0.1469999998807907,0.0729999989271164
95,Southern Asia,5.081999778747559,0.8130000233650208,1.3209999799728394,0.6039999723434448,0.4569999873638153,0.3700000047683716,0.16699999570846558
96,Sub-Saharan Africa,5.044000148773193,0.5490000247955322,0.9100000262260437,0.3310000002384186,0.38100001215934753,0.18700000643730164,0.03700000047683716
97,Central and Eastern Europe,5.011000156402588,1.0920000076293945,1.5130000114440918,0.8149999976158142,0.3109999895095825,0.08100000023841858,0.004000000189989805
98,Sub-Saharan Africa,4.995999813079834,0.6110000014305115,0.8679999709129333,0.4860000014305115,0.38100001215934753,0.24500000476837158,0.03999999910593033
99,Sub-Saharan Africa,4.943999767303467,0.5690000057220459,0.8080000281333923,0.23199999332427979,0.35199999809265137,0.15399999916553497,0.09000000357627869
100,Southern Asia,4.913000106811523,0.44600000977516174,1.2259999513626099,0.6769999861717224,0.4390000104904175,0.2849999964237213,0.08900000154972076
101,Middle East and Northern Africa,4.906000137329102,0.8370000123977661,1.225000023841858,0.8149999976158142,0.382999986410141,0.10999999940395355,0.12999999523162842
102,Sub-Saharan Africa,4.882999897003174,0.3930000066757202,0.43700000643730164,0.3970000147819519,0.3490000069141388,0.17499999701976776,0.0820000022649765
103,Sub-Saharan Africa,4.811999797821045,0.6729999780654907,0.7990000247955322,0.5080000162124634,0.3720000088214874,0.10499999672174454,0.09300000220537186
104,Sub-Saharan Africa,4.798999786376953,1.0570000410079956,1.1829999685287476,0.5709999799728394,0.29499998688697815,0.0430000014603138,0.054999999701976776
105,Southeastern Asia,4.796000003814697,0.7639999985694885,1.0299999713897705,0.5509999990463257,0.546999990940094,0.26600000262260437,0.164000004529953
106,Sub-Saharan Africa,4.7220001220703125,0.9599999785423279,1.3509999513626099,0.4690000116825104,0.3889999985694885,0.12999999523162842,0.054999999701976776
107,Central and Eastern Europe,4.718999862670898,0.9470000267028809,0.8479999899864197,0.8740000128746033,0.382999986410141,0.17800000309944153,0.027000000700354576
108,Latin America and Caribbean,4.706999778747559,0.9599999785423279,1.4270000457763672,0.8050000071525574,0.15399999916553497,0.06400000303983688,0.04699999839067459
109,Southeastern Asia,4.699999809265137,0.5740000009536743,1.121999979019165,0.6370000243186951,0.609000027179718,0.23199999332427979,0.06199999898672104
110,Middle East and Northern Africa,4.696000099182129,0.6570000052452087,1.246999979019165,0.671999990940094,0.22499999403953552,0.10300000011920929,0.06599999964237213
111,Sub-Saharan Africa,4.681000232696533,0.44999998807907104,1.1339999437332153,0.5709999799728394,0.2919999957084656,0.15299999713897705,0.07199999690055847
114,Sub-Saharan Africa,4.627999782562256,0.1379999965429306,0.7739999890327454,0.3659999966621399,0.3179999887943268,0.18799999356269836,0.10199999809265137
115,Sub-Saharan Africa,4.586999893188477,0.3310000002384186,1.055999994277954,0.3799999952316284,0.2549999952316284,0.1770000010728836,0.11299999803304672
116,Central and Eastern Europe,4.559000015258789,0.8500000238418579,1.0549999475479126,0.8149999976158142,0.28299999237060547,0.0949999988079071,0.06400000303983688
117,Middle East and Northern Africa,4.547999858856201,1.100000023841858,0.8420000076293945,0.7850000262260437,0.3050000071525574,0.27000001072883606,0.125
118,Sub-Saharan Africa,4.533999919891357,0.3799999952316284,0.8289999961853027,0.375,0.3319999873638153,0.2070000022649765,0.0860000029206276
119,Central and Eastern Europe,4.519000053405762,0.8859999775886536,0.6660000085830688,0.7519999742507935,0.34599998593330383,0.0430000014603138,0.164000004529953
121,Sub-Saharan Africa,4.508999824523926,0.5120000243186951,0.9829999804496765,0.5809999704360962,0.4309999942779541,0.3720000088214874,0.05299999937415123
122,Sub-Saharan Africa,4.489999771118164,0.5699999928474426,1.1670000553131104,0.48899999260902405,0.06599999964237213,0.10599999874830246,0.08799999952316284
123,Sub-Saharan Africa,4.466000080108643,0.20399999618530273,0.9860000014305115,0.38999998569488525,0.49399998784065247,0.19699999690055847,0.1379999965429306
124,Middle East and Northern Africa,4.460999965667725,0.9210000038146973,1,0.8149999976158142,0.16699999570846558,0.05900000035762787,0.054999999701976776
125,Southern Asia,4.455999851226807,0.5619999766349792,0.9279999732971191,0.7229999899864197,0.5270000100135803,0.16599999368190765,0.14300000667572021
126,Middle East and Northern Africa,4.436999797821045,1.0429999828338623,0.9800000190734863,0.5740000009536743,0.2409999966621399,0.14800000190734863,0.08900000154972076
127,Sub-Saharan Africa,4.418000221252441,0.09399999678134918,1.125,0.3569999933242798,0.26899999380111694,0.21199999749660492,0.05299999937415123
128,Sub-Saharan Africa,4.389999866485596,0.38499999046325684,1.1050000190734863,0.30799999833106995,0.3269999921321869,0.15299999713897705,0.052000001072883606
129,Sub-Saharan Africa,4.374000072479248,0.2680000066757202,0.8410000205039978,0.24199999868869781,0.3089999854564667,0.25200000405311584,0.04500000178813934
130,Southern Asia,4.366000175476074,0.9490000009536743,1.2649999856948853,0.8309999704360962,0.4699999988079071,0.24400000274181366,0.04699999839067459
131,Southeastern Asia,4.360000133514404,0.7099999785423279,1.180999994277954,0.5550000071525574,0.5249999761581421,0.5659999847412109,0.1720000058412552
132,Sub-Saharan Africa,4.349999904632568,0.3499999940395355,0.765999972820282,0.19200000166893005,0.17399999499320984,0.1979999989271164,0.07800000160932541
133,Central and Eastern Europe,4.331999778747559,0.8199999928474426,1.3899999856948853,0.7390000224113464,0.17800000309944153,0.18700000643730164,0.009999999776482582
134,Sub-Saharan Africa,4.285999774932861,0.335999995470047,1.0329999923706055,0.5320000052452087,0.3440000116825104,0.20900000631809235,0.10000000149011612
135,Sub-Saharan Africa,4.211999893188477,0.8109999895095825,1.1490000486373901,0,0.31299999356269836,0.07400000095367432,0.13500000536441803
136,Sub-Saharan Africa,4.189000129699707,0.3319999873638153,1.069000005722046,0.4429999887943268,0.35600000619888306,0.25200000405311584,0.05999999865889549
137,Middle East and Northern Africa,4.165999889373779,0.9129999876022339,1.0390000343322754,0.6439999938011169,0.2409999966621399,0.07599999755620956,0.06700000166893005
138,Sub-Saharan Africa,4.10699987411499,0.578000009059906,1.0579999685287476,0.4259999990463257,0.4309999942779541,0.24699999392032623,0.08699999749660492
139,Sub-Saharan Africa,4.085000038146973,0.2750000059604645,0.5720000267028809,0.4099999964237213,0.2930000126361847,0.1770000010728836,0.08500000089406967
140,Southern Asia,4.014999866485596,0.7549999952316284,0.7649999856948853,0.5879999995231628,0.49799999594688416,0.20000000298023224,0.08500000089406967
141,Sub-Saharan Africa,3.9749999046325684,0.0729999989271164,0.921999990940094,0.4429999887943268,0.3700000047683716,0.2329999953508377,0.032999999821186066
142,Sub-Saharan Africa,3.9730000495910645,0.27399998903274536,0.7570000290870667,0.5049999952316284,0.1420000046491623,0.2750000059604645,0.07800000160932541
143,Sub-Saharan Africa,3.933000087738037,0.27399998903274536,0.9160000085830688,0.5550000071525574,0.14800000190734863,0.16899999976158142,0.04100000113248825
144,Sub-Saharan Africa,3.802000045776367,0.48899999260902405,1.1690000295639038,0.1679999977350235,0.35899999737739563,0.10700000077486038,0.09300000220537186
145,Sub-Saharan Africa,3.7750000953674316,0.04600000008940697,0.44699999690055847,0.3799999952316284,0.2199999988079071,0.17599999904632568,0.18000000715255737
146,Sub-Saharan Africa,3.6630001068115234,0.3659999966621399,1.1139999628067017,0.43299999833106995,0.3610000014305115,0.1509999930858612,0.08900000154972076
147,Latin America and Caribbean,3.5969998836517334,0.3230000138282776,0.6880000233650208,0.4490000009536743,0.026000000536441803,0.4189999997615814,0.10999999940395355
148,Sub-Saharan Africa,3.48799991607666,1.0410000085830688,1.1449999809265137,0.5379999876022339,0.45500001311302185,0.02500000037252903,0.10000000149011612
149,Middle East and Northern Africa,3.4619998931884766,0.6190000176429749,0.3779999911785126,0.4399999976158142,0.013000000268220901,0.3310000002384186,0.14100000262260437
150,Sub-Saharan Africa,3.4100000858306885,0.19099999964237213,0.5600000023841858,0.4950000047683716,0.4429999887943268,0.21799999475479126,0.08900000154972076
151,Middle East and Northern Africa,3.380000114440918,0.28700000047683716,1.1629999876022339,0.46299999952316284,0.14300000667572021,0.1080000028014183,0.07699999958276749
152,Sub-Saharan Africa,3.3340001106262207,0.35899999737739563,0.7110000252723694,0.6140000224113464,0.5550000071525574,0.21699999272823334,0.41100001335144043
153,Sub-Saharan Africa,3.2309999465942383,0.47600001096725464,0.8849999904632568,0.49900001287460327,0.4169999957084656,0.2759999930858612,0.1469999998807907
154,Southern Asia,3.203000068664551,0.3499999940395355,0.5170000195503235,0.3610000014305115,0,0.15800000727176666,0.02500000037252903
155,Sub-Saharan Africa,3.0829999446868896,0.026000000536441803,0,0.10499999672174454,0.22499999403953552,0.23499999940395355,0.03500000014901161
